mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
746,0,100,11101,-56.848741,5.859761,-1.0,500.0,10
746,0,101,11042,-54.4340279,5.4049742,-1.0,19383.0,304
746,0,101,12141,-54.4483958,5.3385244,-1.0,18577.0,508
746,0,101,12142,-54.418505,5.5555624,-1.0,628.0,4
746,0,101,13072,-54.4331118,5.4074466,-1.0,4552.0,147
746,0,101,13073,-54.4057701,5.5840763,-1.0,500.0,5
746,0,101,13433,-54.4669977,5.2773033,-1.0,11117.0,570
746,0,102,10783,-55.1789655,5.7992105,-1.0,500.0,2
746,0,102,10812,-55.1661537,5.8053981,-1.0,500.0,3
746,0,102,10831,-55.1623276,5.8257987,-1.0,500.0,6
746,0,102,10851,-55.167905,5.805392,-1.0,500.0,6
746,0,102,10913,-55.188961,5.858921,-1.0,500.0,1
746,0,102,10923,-55.1615551,5.8253102,-1.0,2282.0,25
746,0,102,10933,-55.093445,5.825705,-1.0,500.0,1
746,0,102,10943,-55.1962711,5.8037421,-1.0,500.0,3
746,0,102,10951,-55.137838,5.750115,-1.0,500.0,1
746,0,102,10953,-55.1952,5.803838,-1.0,500.0,1
746,0,102,10963,-55.1753885,5.7866107,-1.0,500.0,7
746,0,102,10972,-55.1625154,5.8057434,-1.0,500.0,5
746,0,102,10973,-55.163916,5.8228546,-1.0,500.0,6
746,0,102,11181,-55.1892965,5.8150867,-1.0,500.0,4
746,0,102,11191,-55.093445,5.825705,-1.0,500.0,1
746,0,102,11311,-55.1621435,5.8261246,-1.0,500.0,4
746,0,102,11313,-55.162763,5.825099,-1.0,500.0,2
746,0,102,11333,-55.19527,5.803915,-1.0,500.0,1
746,0,102,11352,-55.1963407,5.803694,-1.0,500.0,2
746,0,102,11483,-55.1596312,5.8299585,-1.0,500.0,7
746,0,102,11503,-55.1598829,5.8237994,-1.0,500.0,2
746,0,102,11582,-55.0781928,5.8881132,-1.0,500.0,4
746,0,102,11622,-55.12208,5.741435,-1.0,500.0,1
746,0,102,12262,-55.1788784,5.7991933,-1.0,500.0,6
746,0,102,12422,-55.16239,5.8094808,-1.0,2052.0,4
746,0,102,18002,-55.1632848,5.8253414,-1.0,500.0,20
746,0,103,10321,-55.1297742,5.588592,-1.0,1881.0,6
746,0,103,10491,-55.1271581,5.591601,-1.0,1827.0,14
746,0,103,10492,-55.1259685,5.5812883,-1.0,509.0,29
746,0,103,11213,-55.2642274,5.0762396,-1.0,4501.0,55
746,0,103,11241,-55.128035,5.581281,-1.0,500.0,2
746,0,103,11261,-55.1256982,5.5812429,-1.0,500.0,20
746,0,103,11791,-55.220998,5.743243,-1.0,500.0,1
746,0,103,11983,-55.135895,5.75201,-1.0,500.0,1
746,0,103,12072,-55.1260017,5.5832568,-1.0,1944.0,69
746,0,103,12073,-55.1148455,5.5842365,-1.0,500.0,2
746,0,103,12121,-55.125243,5.6031273,-1.0,4109.0,188
746,0,103,12122,-55.1845635,5.6064677,-1.0,950.0,21
746,0,103,12123,-55.1749833,5.6104182,-1.0,500.0,4
746,0,103,12171,-55.123972,5.5817126,-1.0,772.0,35
746,0,103,12442,-55.1387472,5.0720105,-1.0,500.0,12
746,0,103,12471,-55.1426445,5.073051,-1.0,500.0,3
746,0,103,12472,-55.2810494,5.0559853,-1.0,6194.0,42
746,0,103,12473,-55.2727169,5.0610704,-1.0,784.0,10
746,0,103,12492,-55.382121,4.9318727,-1.0,500.0,5
746,0,103,12493,-55.3179958,5.0274898,-1.0,12738.0,282
746,0,103,12494,-55.2983052,5.0442869,-1.0,4435.0,50
746,0,103,12621,-55.3478164,4.9956125,-1.0,9525.0,344
746,0,103,12622,-55.3574014,4.9783133,-1.0,14237.0,1736
746,0,103,12822,-55.3818204,4.9319849,-1.0,500.0,12
746,0,103,12952,-55.058663,5.6676946,-1.0,500.0,6
746,0,103,12961,-55.12496,5.603308,-1.0,500.0,21
746,0,103,13181,-55.0588339,5.6678559,-1.0,500.0,9
746,0,103,13183,-55.1339373,5.5914204,-1.0,2185.0,4
746,0,107,12691,-54.4649637,5.2919791,-1.0,16814.0,324
746,0,107,13651,-54.4542454,5.3257353,-1.0,18195.0,1289
746,0,107,13652,-54.5135432,5.1456017,-1.0,500.0,7
746,0,205,10221,-56.848283,5.85964,-1.0,500.0,1
746,0,205,10223,-56.9968747,5.9482026,-1.0,1266.0,39
746,0,205,10382,-56.8492941,5.8588941,-1.0,701.0,36
746,0,205,11631,-56.9998603,5.9491406,-1.0,500.0,4
746,0,205,11632,-56.8486606,5.8594297,-1.0,500.0,8
746,0,205,11641,-56.9996484,5.9490913,-1.0,500.0,3
746,0,205,11643,-57.047363,5.936211,-1.0,500.0,2
746,0,205,11931,-56.379724,5.8957391,-1.0,500.0,4
746,0,205,12021,-56.8425396,5.85689,-1.0,18564.0,7
746,0,205,12022,-56.8336205,5.8559896,-1.0,18004.0,38
746,0,205,12023,-56.9233177,5.8577099,-1.0,500.0,2
746,0,205,12031,-56.8487422,5.8597877,-1.0,500.0,17
746,0,205,12041,-56.1819096,5.8410003,-1.0,500.0,10
746,0,205,12042,-56.277026,5.862892,-1.0,2244.0,7
746,0,205,12052,-56.0022035,5.7828241,-1.0,5797.0,16
746,0,205,12111,-56.2974,5.86934,-1.0,500.0,1
746,0,205,12112,-56.3797604,5.8958097,-1.0,500.0,3
746,0,205,12271,-56.2242065,5.850919,-1.0,4817.0,2
746,0,205,12272,-56.379805,5.89578,-1.0,500.0,1
746,0,205,12273,-56.335114,5.8820583,-1.0,500.0,3
746,0,205,12353,-56.7466495,5.8218902,-1.0,500.0,10
746,0,205,12361,-56.066522,5.8090865,-1.0,4328.0,8
746,0,205,12362,-56.1241405,5.8265993,-1.0,7882.0,3
746,0,205,13031,-56.8666919,5.8550008,-1.0,6135.0,23
746,0,205,13092,-56.7637057,5.8223883,-1.0,10289.0,16
746,0,205,13101,-57.0085833,5.9437981,-1.0,1144.0,10
746,0,205,13102,-56.999658,5.949038,-1.0,500.0,1
746,0,600,10041,-55.998588,5.78105,-1.0,500.0,4
746,0,600,50072,-55.1281449,5.5813529,-1.0,500.0,3
746,2,0,86317,-55.171246,5.804127,-1.0,1000.0,3
746,2,1,1890,-55.15754699707,5.8344268798828,-1.0,1000.0,1
746,2,62,10983,-55.1259911,5.8538767,-1.0,500.0,1
746,2,100,11101,-56.8485876,5.8595562,-1.0,500.0,14
746,2,101,1134,-54.061660766602,5.5007171630859,-1.0,1000.0,1
746,2,101,1493,-55.042190551758,5.8783721923828,-1.0,1000.0,10
746,2,101,1731,-55.090255737305,5.8852386474609,-1.0,1000.0,1
746,2,101,10021,-54.0589653822894,5.49767499352052,-1.0,3377.30237580994,463
746,2,101,10022,-54.0640273197917,5.491421709375,-1.0,7857.28645833333,576
746,2,101,10023,-54.0746127003841,5.50276236447282,-1.0,2441.36134453782,119
746,2,101,11041,-54.3984279228621,5.61417427655614,-1.0,10960.3955788249,1719
746,2,101,11042,-54.4111769429857,5.5955268552713,-1.0,25941.1922968794,3557
746,2,101,11043,-54.4021716035714,5.61560841130952,-1.0,4562.66666666667,336
746,2,101,11581,-55.083389282227,5.8852386474609,-1.0,1000.0,5
746,2,101,11861,-54.2428815738694,5.58141371909548,-1.0,5451.37688442211,398
746,2,101,11862,-54.330757136833,5.59659130895009,-1.0,13334.3838209983,581
746,2,101,11871,-54.0536535,5.5037507,-1.0,1554.0,133
746,2,101,11872,-54.0548437578316,5.49897721787311,-1.0,6889.48453608247,194
746,2,101,11873,-54.0598301391985,5.49535969438047,-1.0,3704.8129894058,2171
746,2,101,11882,-54.9951517,5.7862979,-1.0,500.0,2
746,2,101,11911,-54.4382145532588,5.60398967541899,-1.0,9719.56610800745,537
746,2,101,11912,-54.513101275,5.61029830869565,-1.0,6163.5,92
746,2,101,11971,-54.9297167,5.7827572,-1.0,16965.0,930
746,2,101,11972,-54.9888911,5.7861053,-1.0,7269.0,5276
746,2,101,12141,-54.4259559,5.4533696,-1.0,30104.0,1520
746,2,101,12142,-54.4251404199553,5.54826328703573,-1.0,8170.68444444444,1350
746,2,101,12151,-54.4762791546512,5.61208023023256,-1.0,18039.3837209302,86
746,2,101,12152,-54.6390664508929,5.69422157098214,-1.0,14329.0625,224
746,2,101,12251,-54.827299861683,5.77299928578431,-1.0,15678.5416666667,2448
746,2,101,12252,-54.8802979556962,5.77991372362869,-1.0,12452.05907173,237
746,2,101,12291,-54.7325655355932,5.75201785779661,-1.0,10316.6711864407,590
746,2,101,12292,-54.7872423208279,5.76156407994825,-1.0,26427.9055627426,1546
746,2,101,12372,-54.4475903,5.7702905,-1.0,500.0,5
746,2,101,12373,-54.5201486,5.757992,-1.0,1217.0,13
746,2,101,12391,-54.148373545944,5.54293185842223,-1.0,7198.37563451777,197
746,2,101,12392,-54.1621725,5.5521986,-1.0,4477.0,257
746,2,101,12903,-54.41147,5.76964,-1.0,500.0,2
746,2,101,13071,-54.3839012188423,5.61687167143629,-1.0,4666.99346405229,459
746,2,101,13072,-54.3888034,5.601783,-1.0,8300.0,473
